,action,cos,sin,omega,reward
167,-0.3958238363265991,0.9987696409225464,-0.04959077388048172,0.016343962401151657,-0.003988433629274368
168,0.118806853890419,0.9987621307373047,-0.049741990864276886,-0.003028090111911297,-0.002502090996131301
169,0.6689722537994385,0.9989068508148193,-0.046744924038648605,0.060011256486177444,-0.0029247498605400324
170,0.3390059769153595,0.9990768432617188,-0.042958565056324005,0.07580345869064331,-0.0026617413386702538
171,0.031097181141376495,0.9991775751113892,-0.04054821655154228,0.04824911057949066,-0.0024221583735197783
172,0.03401683643460274,0.9992234110832214,-0.039402108639478683,0.02294047363102436,-0.001879014540463686
173,0.06514829397201538,0.9992296695709229,-0.03924417495727539,0.0031611367594450712,-0.001610201084986329
174,0.6333245038986206,0.999358594417572,-0.035810261964797974,0.06872668117284775,-0.0019429957028478384
175,0.03073681890964508,0.9994391202926636,-0.03348768129944801,0.04647950828075409,-0.0017562038265168667
176,-0.12681980431079865,0.9994430541992188,-0.03337071090936661,0.0023407747503370047,-0.0013539621140807867
177,0.4133079946041107,0.9995067119598389,-0.03140629455447197,0.03930894285440445,-0.0012853892985731363
178,-0.0935039296746254,0.9995093941688538,-0.03131990507245064,0.0017286315560340881,-0.0011499420506879687
179,-0.3818928003311157,0.9993778467178345,-0.03526997193694115,-0.07904521375894547,-0.0011273983400315046
180,-0.16641032695770264,0.9991264939308167,-0.04178807884454727,-0.1304592490196228,-0.0018969940720126033
181,0.2811489701271057,0.9988586902618408,-0.04776347056031227,-0.11962796002626419,-0.0035282671451568604
182,0.7185385227203369,0.9987419843673706,-0.050144098699092865,-0.04766978323459625,-0.004230468533933163
183,0.26948410272598267,0.9986270070075989,-0.0523839145898819,-0.04485524445772171,-0.002816403517499566
184,-0.11181741952896118,0.9983499646186829,-0.05742208659648895,-0.10091578960418701,-0.002960290526971221
185,0.6666626930236816,0.9982212781906128,-0.05961746349930763,-0.04398295283317566,-0.004763765260577202
186,0.3331376612186432,0.9981039762496948,-0.06155017763376236,-0.03872540220618248,-0.0038628915790468454
187,-0.002947181463241577,0.9978322982788086,-0.0658080205321312,-0.08533011376857758,-0.003943192306905985
188,0.2426067292690277,0.9974968433380127,-0.07071130722761154,-0.09829511493444443,-0.0051239426247775555
189,0.43050020933151245,0.997180700302124,-0.07503744959831238,-0.08675356954336166,-0.006159968674182892
