0,1,2,3,4,5,6,7,8,9
15.14678429,-7.682651472,2.719472762,-6.33698875,-6.340289359,7.285444073,4.531947904,-7.274892125,8.644997764,1.890990342
15.95096984,-5.290990043,3.706357962,-2.374120904,-5.16261368,6.311562842,7.230290929,-8.787813029,9.215045642,1.61516374
14.40169646,-1.743098771,7.882040088,1.551848039,-2.343912346,2.518899529,10.98110364,-4.792462529,7.162301724,0.971689265
-6.179228732,-1.913318074,-3.919151179,2.812459055,-3.163355602,-1.42859385,-0.227872908,1.136244009,-4.071687814,0.884682515
-6.179228732,-1.913318074,-3.919151179,2.812459055,-3.163355602,-1.42859385,-0.227872908,1.136244009,-4.071687814,0.884682515
-8.126033423,-0.567530444,-1.553420624,7.135514801,0.072518383,-4.493816513,2.760257562,1.127606593,-3.577452499,1.461661537
-8.126033423,-0.567530444,-1.553420624,7.135514801,0.072518383,-4.493816513,2.760257562,1.127606593,-3.577452499,1.461661537
-8.126033423,-0.567530444,-1.553420624,7.135514801,0.072518383,-4.493816513,2.760257562,1.127606593,-3.577452499,1.461661537
-6.370206585,-1.404381444,0.304315147,2.71383681,-3.323672884,-7.115503012,1.578014657,2.636096126,-0.965623816,-0.407866109
-10.00377969,-1.886790938,2.86931251,-0.305487246,1.566034056,-2.679735434,1.497377725,6.48102151,-1.358782706,0.288207805
-9.925626617,-0.662230645,1.421088619,-1.028431243,-1.067633125,1.921295259,-2.109761711,6.22124061,0.835680427,0.086201316
-10.38530079,0.425498863,1.621703597,0.862327662,-0.249919256,2.047645807,0.598218981,4.709112515,0.704085259,0.797012865
-10.38530079,0.425498863,1.621703597,0.862327662,-0.249919256,2.047645807,0.598218981,4.709112515,0.704085259,0.797012865
-9.925626617,-0.662230645,1.421088619,-1.028431243,-1.067633125,1.921295259,-2.109761711,6.22124061,0.835680427,0.086201316
-10.00377969,-1.886790938,2.86931251,-0.305487246,1.566034056,-2.679735434,1.497377725,6.48102151,-1.358782706,0.288207805
-10.00377969,-1.886790938,2.86931251,-0.305487246,1.566034056,-2.679735434,1.497377725,6.48102151,-1.358782706,0.288207805
-10.00377969,-1.886790938,2.86931251,-0.305487246,1.566034056,-2.679735434,1.497377725,6.48102151,-1.358782706,0.288207805
-7.486612037,-1.813058956,1.129687162,-1.34299355,-0.657077467,-5.011222254,0.98618543,6.181257703,-0.856501589,-0.461738532
-9.453046148,-4.796538265,5.242882232,-5.574978707,5.249701785,-4.202489419,-0.810871966,4.963680243,1.821582708,2.369773359
-7.486612037,-1.813058956,1.129687162,-1.34299355,-0.657077467,-5.011222254,0.98618543,6.181257703,-0.856501589,-0.461738532
-7.486612037,-1.813058956,1.129687162,-1.34299355,-0.657077467,-5.011222254,0.98618543,6.181257703,-0.856501589,-0.461738532
-6.473711434,-3.867963674,2.82121462,-4.676262451,1.97838685,-6.721974712,-0.732926154,3.175934207,2.082076899,0.727743678
-6.564444215,-3.336377163,1.149621824,0.043921207,1.580778304,-6.814153918,-0.150391495,-1.119241086,1.658815388,1.966393818
-3.529348531,-3.275403456,-2.392395247,3.913136526,-1.699166569,-4.775142651,-1.362243547,-3.04234,-0.573054653,2.526953159
