,steps,loss_policy,loss_value
0,0.6,16.261341094970703,751.212646484375
16,5.235453978995383,11.692596435546875,475.9860534667969
32,8.290836681128507,10.296947479248047,380.2581481933594
48,12.81130370117154,11.403006553649902,470.9187927246094
64,16.316761044552184,11.580255508422852,487.1001892089844
80,19.466646994630185,11.869377136230469,513.7650756835938
96,21.990426371786914,11.787776947021484,506.57501220703125
112,24.455635053848248,11.936738967895508,523.0276489257812
128,27.168508891262274,12.418134689331055,579.1075439453125
144,32.046075191646516,13.36632251739502,692.2066040039062
160,35.69624656593426,13.815230369567871,733.7539672851562
176,38.181959911808974,14.325285911560059,808.6869506835938
192,40.85753684901445,14.603291511535645,837.2758178710938
208,45.193642728232696,15.0740966796875,888.1699829101562
224,52.989429844768175,16.670242309570312,1123.4425048828125
240,53.4298717248146,16.63770294189453,1117.1029052734375
256,56.7109739246245,16.98070526123047,1156.0120849609375
272,64.77156296265035,18.093202590942383,1313.390869140625
288,68.30590260948345,18.67771339416504,1398.56103515625
304,71.51167230472115,19.094615936279297,1453.486083984375
320,79.51041900402383,20.11389923095703,1615.999755859375
336,89.70236495414149,21.315889358520508,1808.335205078125
352,101.9535373064186,22.655982971191406,2024.3905029296875
368,106.77507090255124,23.233787536621094,2113.140625
384,116.24102785603536,24.1533145904541,2264.02099609375
400,122.3041127847773,24.885988235473633,2392.46484375
416,128.83164428372862,25.4873104095459,2491.370849609375
432,132.83508852152383,25.85035514831543,2543.35205078125
448,137.95790018268758,26.26905632019043,2602.00146484375
464,142.99953173497033,26.789281845092773,2699.0712890625
480,155.84416675540547,27.635589599609375,2854.9423828125
496,166.29991269109743,28.307960510253906,2976.2890625
512,168.94632774017833,28.65384864807129,3033.699951171875
528,170.7850557967189,28.869869232177734,3067.129150390625
544,165.62903290101875,28.862407684326172,3058.829345703125
560,171.41829565961015,29.209306716918945,3119.1650390625
576,172.72657531990828,29.377580642700195,3146.32080078125
592,179.1953075032683,29.705230712890625,3207.099609375
608,188.96362213776197,30.143474578857422,3294.191162109375
624,195.42571146248173,30.56827163696289,3378.466064453125
